BRD-K89162000	COc1cc2c(ncnc2cc1OCCCN1CCCCC1)N1CCN(CC1)C(=O)Nc1ccc(OC(C)C)cc1
BRD-K87049188	CCCCc1ccc(nc1)C(=O)O
BRD-K17415526	C[C@H](NC(=O)C(=C\c1ccc(O)c(O)c1)\C#N)c1ccccc1
BRD-A62809825	CCCCCCCC(=O)OC1C(OC(=O)/C(=C/C)/C)C(=C2C3OC(=O)C(C)(O)C3(O)C(CC(C)(OC(=O)C)C12)OC(=O)CCC)C
BRD-K41143549	NC(=O)CNCCC(c1ccccc1)c1ccccc1
BRD-K79930101	CS(=O)(=O)CCNCc1nc(cs1)-c1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1
BRD-K60230970	CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1)C=O
BRD-A52660433	C1CCC(CC1)c1ccc2n3CCNC4CCCc(c34)c2c1
BRD-A62035778	CN1C2C[C@@H](C[C@H]1[C@H]1OC21)OC(=O)[C@H](CO)c1ccccc1
BRD-K14282469	Nc1ccc(CCN2CCN(CC2)c3cccc(c3)C(F)(F)F)cc1
BRD-K03067624	CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc12
BRD-A45498368	CNC(=O)Nc1ccc(cc1)-c1nc(N2CC3CCC(C2)O3)c2cnn(C3CCC4(CC3)OCCO4)c2n1
BRD-A52326238	CC(=O)O[C@@H]1CC2C(C)(C)C=CC(=O)[C@]2(C)C3CC[C@@]4(C)[C@@H](OC(=O)C5OC54[C@]13C)c6ccoc6
BRD-K36965586	NC(=N)NC(=N)Nc1cccc(Cl)c1
BRD-K92678294	COc1ccccc1c2coc3cc(OC)c(OC)c(OC)c3c2=O
BRD-K50384076	Oc1ccc(cc1)-c1cc(=O)c2ccc(O)cc2o1
BRD-A26097136	CCN1C[C@]2(COC)CCC(OC)[C@]3(C4C[C@@]5(O)[C@H](OC(=O)c6ccc(OC)cc6)C4[C@](C[C@H]5OC)(OC(=O)C)[C@H]7[C@H](OC)C32)[C@@H]71
BRD-K11399644	NC(=N)NC(=N)NCCc1ccccc1
